Time (s),PPG Value
0.01116,-0.2
0.017852,-0.2
0.026056,-0.2
0.034296,-0.2
0.044124,-0.2
0.054604,-0.2
0.064396,-0.2
0.074228,-0.2
0.084092,-0.2
0.093952,-0.2
0.102928,-0.2
0.112792,-0.2
0.122648,-0.2
0.132504,-0.2
0.142352,-0.2
0.152224,-0.2
0.162772,-0.2
0.172664,-0.2
0.182528,-0.2
0.19238,-0.2
0.202248,-0.2
0.212808,-0.2
0.222688,-0.2
0.232556,-0.2
0.242428,-0.2
0.252312,-0.2
0.262892,-0.2
0.272852,-0.2
0.282768,-0.2
0.2927,-0.2
0.30262,-0.2
0.313224,-0.2
0.323148,-0.2
0.333056,-0.2
0.342972,-0.2
0.352924,-0.2
0.363532,-0.2
0.373404,-0.1573
0.38326,-0.1655
0.393104,-0.1719
0.40298,-0.1804
0.413524,-0.1862
0.4234,-0.1902
0.433284,-0.1917
0.443164,-0.1902
0.453032,-0.1887
0.463592,-0.1894
0.473472,-0.1916
0.483348,-0.196
0.493212,-0.2027
0.503036,-0.4091
0.511304,-0.5243
0.521816,-0.6897
0.531644,-0.7039
0.541468,-0.5489
0.55132,-0.296
0.561156,-0.0498
0.571888,0.1078
0.581896,0.2275
0.591912,0.3107
0.602108,0.3164
0.612112,0.2527
0.622808,0.0816
0.632692,-0.1755
0.642536,-0.2939
0.652368,-0.2997
0.662204,-0.2289
0.672724,-0.1277
0.682604,-0.0142
0.692608,0.0397
0.70262,0.0464
0.712636,0.0692
0.72334,0.1103
0.733396,0.1213
0.743404,0.0949
0.75342,0.0282
0.763256,-0.0974
0.773788,-0.2318
0.783632,-0.3604
0.793448,-0.3421
0.803276,-0.2667
0.813112,-0.2247
0.823648,-0.2292
0.833476,-0.2035
0.84332,-0.1696
0.853172,-0.0493
0.863124,0.0513
0.87314,0.1257
0.884004,0.1517
0.894012,0.1052
0.903976,-0.0189
0.913816,-0.1673
0.923656,-0.2448
0.934184,-0.3029
0.944016,-0.291
