Time (s),PPG Value
0.559616,-0.1934
0.570264,-0.1957
0.580244,-0.1972
0.590188,-0.1981
0.60014,-0.1988
0.610072,-0.1992
0.620692,-0.1995
0.630664,-0.1997
0.640628,-0.1998
0.6506,-0.1999
0.660572,-0.1999
0.670532,-0.1999
0.681216,-0.2
0.69118,-0.2
0.70114,-0.2
0.71112,-0.2
0.72108,-0.2
0.73174,-0.2
0.7417,-0.2
0.751644,-0.2
0.7616,-0.2
0.771556,-0.2
0.782224,-0.2
0.792224,-0.2
0.802196,-0.2
0.812192,-0.2
0.822192,-0.2
0.832892,-0.2
0.844508,-0.2
0.854528,-0.2
0.86454,-0.2
0.874556,-0.2
0.88526,-0.2
0.895272,-0.2
0.905272,-0.2
0.915284,-0.2
0.925296,-0.2
0.935984,-0.2
0.9476,-0.2
0.957608,-0.2
0.96762,-0.2
0.977628,-0.2
0.988328,-0.2
0.999952,-0.2
1.00996,-0.2
1.019968,-0.2
1.029956,-0.2
1.040644,-0.2
1.050644,-0.2
1.060644,-0.2
1.070652,-0.2
1.080624,-0.2
1.0913,-0.2
1.102896,-0.2
1.112896,-0.2
1.1229,-0.2
1.132904,-0.2
1.143568,-0.2
1.153556,-0.2
1.163552,-0.2
1.173532,-0.2
1.183516,-0.2
1.194196,-0.2
1.205776,-0.2
1.215748,-0.2
1.225756,-0.2
1.235756,-0.2
1.246452,-0.2
1.256464,-0.2
1.266468,-0.2
1.276456,-0.2
1.28644,-0.2
1.29712,-0.2
1.308736,-0.2
1.318736,-0.2
1.328744,-0.2
1.338728,-0.2
1.349412,-0.2
1.359396,-0.2
1.369384,-0.2
1.379376,-0.2
1.389364,-0.2
1.400052,-0.2
1.411628,-0.2
1.421612,-0.2
1.4316,-0.2
1.441576,-0.2
1.45226,-0.2
1.462252,-0.2
1.472256,-0.2
1.482236,-0.2
1.492224,-0.2
1.502908,-0.2
1.51452,-0.2
1.524516,-0.2
1.534504,-0.2
1.544492,-0.2
1.555168,-0.2
1.565164,-0.2
1.57516,-0.2
1.585136,-0.2
1.59512,-0.2
1.605796,-0.2
1.617384,-0.2
1.627372,-0.2
1.637348,-0.2
1.647328,-0.2
1.658008,-0.2
1.668,-0.2
1.677988,-0.2
1.687976,-0.2
1.69796,-0.2
1.708644,-0.2
1.720228,-0.2
1.730212,-0.2
1.740196,-0.2
1.750188,-0.2
1.760876,-0.2
1.77088,-0.2
1.780868,-0.2
1.790856,-0.2
1.800856,-0.2
1.811528,-0.2
1.823116,-0.2
1.833104,-0.2
1.8431,-0.2
1.853092,-0.2
1.863756,-0.2
1.873744,-0.2
1.883736,-0.2
1.893744,-0.2
1.903744,-0.2
1.913732,-0.2
1.92442,-0.2
1.935992,-0.2
1.945984,-0.2
1.955976,-0.2
1.965988,-0.2
1.9767,-0.2
1.986708,-0.2
1.996704,-0.2
2.006696,-0.2
2.016684,-0.2
2.02736,-0.2
2.038944,-0.2
2.048916,-0.2
2.0589,-0.2
2.068876,-0.2
2.079552,-0.2
2.089556,-0.2
2.099536,-0.2
2.109528,-0.2
2.119512,-0.2
2.130204,-0.2
2.141804,-0.2
2.151788,-0.2
2.16178,-0.2
2.171756,-0.2
2.182448,-0.2
2.192448,-0.2
2.202444,-0.2
2.212452,-0.2
2.222444,-0.2
2.233132,-0.2
2.244732,-0.2
2.254712,-0.2
2.2647,-0.2
